Colony #,Original,Ross,Raph,Shayle,Mariah,
851,O,O,B,O,O,Orange
852,O,O,O,O,O,
854,O,O,B,O,O,Orange
855,B,B,B,B,B,
856,B,B,O,B,O,
857,O,O,O,B,O,
858,B,B,B,B,B,
859,O,B,B,B,O,
860,O,O,O,B,O,
861,O,O,O,B,O,
862,O,O,O,O,O,
863,O,O,O,O,O,
864,O,O,B,O,O,
865,B,B,B,B,B,
866,O,O,B,O,O,
867,O,B,B,O,O,
868,O,O,O,O,O,
869,B,B,B,B,B,
870,B,B,B,B,B,
871,O,O,B,B,O,
872,O,O,O,O,O,
873,O,O,B,O,O,
874,B,B,B,B,B,
875,O,O,O,O,O,
876,O,O,O,O,O,
877,O,O,O,O,O,
878,O,B,O,O,O,
879,B,B,B,B,B,
880,O,O,O,O,O,
881,O,B,B,O,B,
882,B,B,O,B,B,Brown
883,B,B,B,B,B,Brown
884,O,B,O,O,B,Orange
885,B,B,B,B,B,
886,,O,O,O,O,
887,B,B,B,B,B,
888,B,B,O,B,O,
889,,O,O,O,O,
890,O,O,O,O,O,Orange
891,B,B,O,B,B,
892,B,O,B,O,O,
893,O,O,O,O,O,
894,B,B,B,B,B,Brown
895,B,B,B,B,B,
896,O,O,O,O,O,
897,,O,O,O,O,
898,,O,O,O,O,
899,O,B,B,B,B,could be O
900,B,B,B,B,B,
901,B,B,B,B,B,
902,B,B,B,B,B,
903,B,B,B,B,B,
904,,O,O,O,O,