growth.rate,dom,light.level,time.point,genotype,frag.id,tank,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres,big.tank,dli
0.054846249,D,High Shade,T1,852,3,7,-0.278161084,0.333007332,0.105474602,0.000275835,-0.008465611,-0.278161084,0,1,1,1,0.333007332,14,0.502115527
0.02105209,D,High Shade,T2,852,3,7,1.741369011,-1.720316921,0.101838993,0.007050199,2.011064484,1.741369011,0,1,1,1,-1.720316921,14,0.502115527
-0.028643855,D,High Shade,T1,862,8,12,-0.406140741,0.377496887,0.107669337,0.000363618,-0.008465611,-0.406140741,0,1,1,1,0.377496887,16,0.502115527
0.099057059,D,High Shade,T2,862,8,12,1.613389353,-1.514332294,0.103757219,0.005589695,2.011064484,1.613389353,0,1,1,1,-1.514332294,16,0.502115527
0.028638983,D,High Shade,T1,886,12,3,0.945196964,-0.916557981,0.100234754,0.001962721,-0.008465611,0.945196964,0,1,1,1,-0.916557981,13,0.502115527
0.185973654,C,High Shade,T1,867,17,3,0.783508873,-0.597535218,0.059805565,0.00045584,0.00294743,0.783508873,0,1,1,1,-0.597535218,13,0.502115527
0.010795345,C,High Shade,T2,867,17,3,1.342278863,-1.331483518,0.061805419,0.002349044,0.56171742,1.342278863,0,1,1,1,-1.331483518,13,0.502115527
-0.332724645,D,High Shade,T1,854,29,16,-0.409795401,0.077070756,0.097124008,1.34E-05,-0.008465611,-0.409795401,0,1,1,1,0.077070756,17,0.502115527
0.047473726,D,High Shade,T2,854,29,16,1.609734694,-1.562260968,0.090697639,0.005052022,2.011064484,1.609734694,0,1,1,1,-1.562260968,17,0.502115527
0.190509325,D,High Shade,T1,876,34,16,-0.403579278,0.594088604,0.097115488,0.000793424,-0.008465611,-0.403579278,0,1,1,1,0.594088604,17,0.502115527
-0.15092472,D,High Shade,T2,876,34,16,1.615950816,-1.766875537,0.090688212,0.00646124,2.011064484,1.615950816,0,1,1,1,-1.766875537,17,0.502115527
0.564164492,D,High Shade,T1,896,38,7,-0.146151722,0.710316214,0.105321993,0.00125276,-0.008465611,-0.146151722,0,1,1,1,0.710316214,14,0.502115527
0.060694704,D,High Shade,T2,896,38,7,1.873378373,-1.812683669,0.101685678,0.007813146,2.011064484,1.873378373,0,1,1,1,-1.812683669,14,0.502115527
0.214200139,C,High Shade,T1,871,40,12,-0.178965115,0.393165254,0.059601552,0.000196591,0.00294743,-0.178965115,0,1,1,1,0.393165254,16,0.502115527
0.059852733,C,High Shade,T2,871,40,12,0.379804875,-0.319952142,0.060085089,0.000131383,0.56171742,0.379804875,0,1,1,1,-0.319952142,16,0.502115527
0.11631619,C,High Shade,T1,893,46,12,-0.226897763,0.343213953,0.058938154,0.000147934,0.00294743,-0.226897763,0,1,1,1,0.343213953,16,0.502115527
0.028970854,C,High Shade,T2,893,46,12,0.331872227,-0.302901373,0.059423185,0.000116292,0.56171742,0.331872227,0,1,1,1,-0.302901373,16,0.502115527
-0.236228175,D,High Shade,T1,867B,50,3,0.764493177,-1.000721352,0.100497225,0.002347222,-0.008465611,0.764493177,0,1,1,1,-1.000721352,13,0.502115527
0.324379377,D,High Shade,T2,867B,50,3,2.784023271,-2.459643894,0.096990174,0.013578945,2.011064484,2.784023271,0,1,1,1,-2.459643894,13,0.502115527
-0.237030577,D,High Shade,T1,912,52,16,-0.400782601,0.163752024,0.097248197,6.04E-05,-0.008465611,-0.400782601,0,1,1,1,0.163752024,17,0.502115527
-0.125060419,D,High Shade,T2,912,52,16,1.618747494,-1.743807913,0.09082157,0.006304735,2.011064484,1.618747494,0,1,1,1,-1.743807913,17,0.502115527
0.00070144,D,High Shade,T1,909,59,3,0.953316534,-0.952615094,0.100205894,0.002119438,-0.008465611,0.953316534,0,1,1,1,-0.952615094,13,0.502115527
0.001070999,D,High Shade,T1,911,68,12,-0.192677048,0.193748047,0.107654393,9.58E-05,-0.008465611,-0.192677048,0,1,1,1,0.193748047,16,0.502115527
0.080060506,D,High Shade,T2,911,68,12,1.826853046,-1.74679254,0.103744541,0.007436405,2.011064484,1.826853046,0,1,1,1,-1.74679254,16,0.502115527
0.011835436,D,High Shade,T1,916,76,3,0.763871957,-0.752036521,0.100205894,0.001320881,-0.008465611,0.763871957,0,1,1,1,-0.752036521,13,0.502115527
-0.001044888,D,High Shade,T2,916,76,3,2.783402052,-2.78444694,0.096695473,0.017337817,2.011064484,2.783402052,0,1,1,1,-2.78444694,13,0.502115527
0.052097708,D,High Shade,T1,910,80,16,-0.36523908,0.417336788,0.097104054,0.000391484,-0.008465611,-0.36523908,0,1,1,1,0.417336788,17,0.502115527
-0.021785671,D,High Shade,T2,910,80,16,1.654291015,-1.676076686,0.09067373,0.00581311,2.011064484,1.654291015,0,1,1,1,-1.676076686,17,0.502115527
0.007985635,D,High Shade,T1,922,86,7,-0.263896523,0.271882159,0.105476461,0.000183871,-0.008465611,-0.263896523,0,1,1,1,0.271882159,14,0.502115527
-0.066332026,D,High Shade,T2,922,86,7,1.755633571,-1.821965597,0.10184216,0.007908268,2.011064484,1.755633571,0,1,1,1,-1.821965597,14,0.502115527
-0.058916085,C,High Shade,T1,920,89,7,-0.248325468,0.189409383,0.064439777,4.98E-05,0.00294743,-0.248325468,0,1,1,1,0.189409383,14,0.502115527
0.023062212,C,High Shade,T2,920,89,7,0.310444522,-0.287382311,0.065027115,0.00011593,0.56171742,0.310444522,0,1,1,1,-0.287382311,14,0.502115527
0.303973679,C,High Shade,T1,894B,97,7,-0.229672382,0.53364606,0.065425032,0.000402533,0.00294743,-0.229672382,0,1,1,1,0.53364606,14,0.502115527
0.215562828,C,High Shade,T2,894B,97,7,0.329097608,-0.113534781,0.066011317,1.84E-05,0.56171742,0.329097608,0,1,1,1,-0.113534781,14,0.502115527
-0.013996569,C,High Shade,T1,873,101,3,0.743417211,-0.75741378,0.059824697,0.000732669,0.00294743,0.743417211,0,1,1,1,-0.75741378,13,0.502115527
0.021668799,C,High Shade,T2,873,101,3,1.302187201,-1.280518402,0.061824034,0.002173397,0.56171742,1.302187201,0,1,1,1,-1.280518402,13,0.502115527
-0.659848821,C,High Shade,T1,881,108,16,-0.425212568,-0.234636253,0.062035397,7.33E-05,0.00294743,-0.425212568,0,1,1,1,-0.234636253,17,0.502115527
0.305221586,C,High Shade,T2,881,108,16,0.133557422,0.171664164,0.06265893,3.97E-05,0.56171742,0.133557422,0,1,1,1,0.171664164,17,0.502115527
0.074847257,D,High Shade,T1,868,112,16,-0.408384882,0.483232138,0.09789327,0.000530063,-0.008465611,-0.408384882,0,1,1,1,0.483232138,17,0.502115527
-0.020733947,D,High Shade,T2,868,112,16,1.611145213,-1.63187916,0.091477855,0.005569288,2.011064484,1.611145213,0,1,1,1,-1.63187916,17,0.502115527
0.340991082,C,High Shade,T1,875,116,12,-0.145858202,0.486849284,0.058938154,0.000297665,0.00294743,-0.145858202,0,1,1,1,0.486849284,16,0.502115527
0.087989057,C,High Shade,T2,875,116,12,0.412911788,-0.324922731,0.059423185,0.000133815,0.56171742,0.412911788,0,1,1,1,-0.324922731,16,0.502115527
0.067572474,C,High Shade,T1,863,129,7,-0.292882179,0.360454654,0.064439777,0.000180506,0.00294743,-0.292882179,0,1,1,1,0.360454654,14,0.502115527
0.106877147,C,High Shade,T2,863,129,7,0.265887811,-0.159010663,0.065027115,3.55E-05,0.56171742,0.265887811,0,1,1,1,-0.159010663,14,0.502115527
0.020302118,C,High Shade,T1,859,133,12,-0.219772097,0.240074215,0.058938154,7.24E-05,0.00294743,-0.219772097,0,1,1,1,0.240074215,16,0.502115527
0.03660545,C,High Shade,T2,859,133,12,0.338997893,-0.302392443,0.059423185,0.000115901,0.56171742,0.338997893,0,1,1,1,-0.302392443,16,0.502115527
-0.113965717,D,High Shade,T2,878,137,16,1.594729028,-1.708694745,0.091502444,0.006107914,2.011064484,1.594729028,0,1,1,1,-1.708694745,17,0.502115527
0.001186388,C,High Shade,T1,877,141,3,0.770438148,-0.76925176,0.059805565,0.000755478,0.00294743,0.770438148,0,1,1,1,-0.76925176,13,0.502115527
-0.055367193,C,High Shade,T2,877,141,3,1.329208138,-1.384575332,0.061805419,0.002540111,0.56171742,1.329208138,0,1,1,1,-1.384575332,13,0.502115527
0.06048102,C,High Shade,T1,861,149,3,1.02460465,-0.96412363,0.059805565,0.001186726,0.00294743,1.02460465,0,1,1,1,-0.96412363,13,0.502115527
0.033554725,C,High Shade,T1,899,151,16,-0.350519237,0.384073961,0.063332403,0.000200939,0.00294743,-0.350519237,0,1,1,1,0.384073961,17,0.502115527
-0.001343307,C,High Shade,T2,899,151,16,0.208250753,-0.20959406,0.063966055,6.05E-05,0.56171742,0.208250753,0,1,1,1,-0.20959406,17,0.502115527
-0.074321013,C,High Shade,T1,860,157,3,0.968845283,-1.043166296,0.059824697,0.001389788,0.00294743,0.968845283,0,1,1,1,-1.043166296,13,0.502115527
0.283949896,C,High Shade,T2,860,157,3,1.527615273,-1.243665378,0.061824034,0.002050098,0.56171742,1.527615273,0,1,1,1,-1.243665378,13,0.502115527
0.1135031,C,High Shade,T1,890,158,12,-0.165337546,0.278840646,0.058938154,9.76E-05,0.00294743,-0.165337546,0,1,1,1,0.278840646,16,0.502115527
-0.023227675,C,High Shade,T2,890,158,12,0.393432444,-0.416660118,0.059423185,0.000220044,0.56171742,0.393432444,0,1,1,1,-0.416660118,16,0.502115527
-0.01642664,C,High Shade,T1,881,187,12,-0.227595353,0.211168713,0.057957924,5.50E-05,0.00294743,-0.227595353,0,1,1,1,0.211168713,16,0.502115527
0.041972418,C,High Shade,T2,881,187,12,0.331174637,-0.289202219,0.058426071,0.000104011,0.56171742,0.331174637,0,1,1,1,-0.289202219,16,0.502115527
0.001260656,C,High Shade,T1,905,201,7,-0.276388012,0.277648668,0.064439777,0.000107098,0.00294743,-0.276388012,0,1,1,1,0.277648668,14,0.502115527
-0.186252796,C,High Shade,T2,905,201,7,0.282381978,-0.468634774,0.065027115,0.000308279,0.56171742,0.282381978,0,1,1,1,-0.468634774,14,0.502115527
-0.439290329,C,High Shade,T1,895,205,16,-0.273067356,-0.166222973,0.063009166,3.74E-05,0.00294743,-0.273067356,0,1,1,1,-0.166222973,17,0.502115527
0.025888392,C,High Shade,T2,895,205,16,0.285702634,-0.259814242,0.063643112,9.25E-05,0.56171742,0.285702634,0,1,1,1,-0.259814242,17,0.502115527
-0.731341065,C,High Shade,T1,879,213,12,-0.201304655,-0.53003641,0.059271074,0.000355062,0.00294743,-0.201304655,0,1,1,1,-0.53003641,16,0.502115527
0.307765818,C,High Shade,T2,879,213,12,0.357465335,-0.049699517,0.059753383,3.15E-06,0.56171742,0.357465335,0,1,1,1,-0.049699517,16,0.502115527
0.035198425,C,High Shade,T1,888,218,3,0.742592103,-0.707393678,0.05983782,0.000639251,0.00294743,0.742592103,0,1,1,1,-0.707393678,13,0.502115527
0.079603171,C,High Shade,T2,888,218,3,1.301362093,-1.221758922,0.061837502,0.001978999,0.56171742,1.301362093,0,1,1,1,-1.221758922,13,0.502115527
0.133988641,C,High Shade,T1,903,225,12,-0.212387852,0.346376493,0.058938154,0.000150673,0.00294743,-0.212387852,0,1,1,1,0.346376493,16,0.502115527
0.27313724,C,High Shade,T2,903,225,12,0.346382138,-0.073244898,0.059423185,6.80E-06,0.56171742,0.346382138,0,1,1,1,-0.073244898,16,0.502115527
-0.018669898,C,High Shade,T1,902,229,7,-0.237473329,0.218803432,0.065425032,6.77E-05,0.00294743,-0.237473329,0,1,1,1,0.218803432,14,0.502115527
-0.000294599,C,High Shade,T2,902,229,7,0.321296661,-0.32159126,0.066011317,0.00014768,0.56171742,0.321296661,0,1,1,1,-0.32159126,14,0.502115527
0.166519224,C,High Shade,T1,891,232,7,-0.228119518,0.394638742,0.064747212,0.000217541,0.00294743,-0.228119518,0,1,1,1,0.394638742,14,0.502115527
-0.030704678,C,High Shade,T2,891,232,7,0.330650472,-0.361355149,0.065334247,0.000184279,0.56171742,0.330650472,0,1,1,1,-0.361355149,14,0.502115527
0.108105633,C,High Shade,T1,855,234,16,-0.400693162,0.508798796,0.063018023,0.000350649,0.00294743,-0.400693162,0,1,1,1,0.508798796,17,0.502115527
0.026869752,C,High Shade,T2,855,234,16,0.158076828,-0.131207076,0.063652485,2.36E-05,0.56171742,0.158076828,0,1,1,1,-0.131207076,17,0.502115527
0.161560657,C,High Shade,T1,885,245,3,0.842857625,-0.681296968,0.059805565,0.000592595,0.00294743,0.842857625,0,1,1,1,-0.681296968,13,0.502115527
0.057367865,C,High Shade,T2,885,245,3,1.401627615,-1.344259749,0.061805419,0.00239434,0.56171742,1.401627615,0,1,1,1,-1.344259749,13,0.502115527
-0.015808315,C,High Shade,T1,865,254,7,-0.226811369,0.211003054,0.064753228,6.22E-05,0.00294743,-0.226811369,0,1,1,1,0.211003054,14,0.502115527
-0.123041447,C,High Shade,T2,865,254,7,0.331958621,-0.455000068,0.065340916,0.0002922,0.56171742,0.331958621,0,1,1,1,-0.455000068,14,0.502115527
0.610909244,C,High Shade,T1,901,259,16,-0.332541489,0.943450733,0.063009166,0.001205453,0.00294743,-0.332541489,0,1,1,1,0.943450733,17,0.502115527
0.104328357,C,High Shade,T2,901,259,16,0.226228501,-0.121900144,0.063643112,2.04E-05,0.56171742,0.226228501,0,1,1,1,-0.121900144,17,0.502115527
0.078404227,C,High Shade,T1,887,263,12,-0.182981839,0.261386066,0.058938154,8.58E-05,0.00294743,-0.182981839,0,1,1,1,0.261386066,16,0.502115527
0.059765148,C,High Shade,T2,887,263,12,0.375788151,-0.316023003,0.059423185,0.000126585,0.56171742,0.375788151,0,1,1,1,-0.316023003,16,0.502115527
0.170465317,C,High Shade,T1,894,265,16,-0.368535065,0.539000382,0.064004688,0.000400517,0.00294743,-0.368535065,0,1,1,1,0.539000382,17,0.502115527
0.400271858,C,High Shade,T2,894,265,16,0.190234925,0.210036933,0.064637718,6.15E-05,0.56171742,0.190234925,0,1,1,1,0.210036933,17,0.502115527
0.22496121,C,High Shade,T1,883,268,3,0.761798084,-0.536836874,0.059824697,0.000368066,0.00294743,0.761798084,0,1,1,1,-0.536836874,13,0.502115527
0.100317815,C,High Shade,T2,883,268,3,1.320568074,-1.220250258,0.061824034,0.001973628,0.56171742,1.320568074,0,1,1,1,-1.220250258,13,0.502115527
0.085101781,C,High Shade,T1,869,273,16,-0.41918913,0.504290911,0.063009166,0.000344409,0.00294743,-0.41918913,0,1,1,1,0.504290911,17,0.502115527
-0.08467271,C,High Shade,T2,869,273,16,0.13958086,-0.22425357,0.063643112,6.89E-05,0.56171742,0.13958086,0,1,1,1,-0.22425357,17,0.502115527
0.031276586,C,High Shade,T1,900,276,3,0.832139016,-0.800862429,0.060467603,0.000829075,0.00294743,0.832139016,0,1,1,1,-0.800862429,13,0.502115527
-0.033907425,C,High Shade,T1,858,283,12,-0.196390291,0.162482867,0.059440841,3.35E-05,0.00294743,-0.196390291,0,1,1,1,0.162482867,16,0.502115527
0.139366524,C,High Shade,T2,858,283,12,0.362379699,-0.223013174,0.059924121,6.36E-05,0.56171742,0.362379699,0,1,1,1,-0.223013174,16,0.502115527
0.093786632,D,High Shade,T1,852,4,15,0.1070224,-0.013235768,0.089907348,3.59E-07,0.113890717,0.1070224,0,1,1,1,-0.013235768,17,0.502115527
-0.099235119,D,High Shade,T2,852,4,15,0.02825033,-0.127485449,0.104278384,3.99E-05,0.035118648,0.02825033,0,1,1,1,-0.127485449,17,0.502115527
0.179782327,D,High Shade,T1,862,9,8,-0.095764475,0.275546802,0.0931578,0.000162303,0.113890717,-0.095764475,0,1,1,1,0.275546802,14,0.502115527
0.201045115,D,High Shade,T2,862,9,8,-0.174536545,0.37558166,0.108244194,0.000362327,0.035118648,-0.174536545,0,1,1,1,0.37558166,14,0.502115527
0.029611407,D,High Shade,T1,886,10,11,0.232429773,-0.202818366,0.092583522,8.73E-05,0.113890717,0.232429773,0,1,1,1,-0.202818366,16,0.502115527
0.036266872,D,High Shade,T2,886,10,11,0.153657703,-0.117390831,0.107623988,3.51E-05,0.035118648,0.153657703,0,1,1,1,-0.117390831,16,0.502115527
0.122081504,C,High Shade,T1,867,16,11,0.13987449,-0.017792986,0.059082303,3.99E-07,0.194436565,0.13987449,0,1,1,1,-0.017792986,16,0.502115527
0.034904054,C,High Shade,T2,867,16,11,0.042753404,-0.00784935,0.059082303,7.76E-08,0.09731548,0.042753404,0,1,1,1,-0.00784935,16,0.502115527
-0.122486431,D,High Shade,T1,864,21,15,0.126187383,-0.248673814,0.090541235,0.000127738,0.113890717,0.126187383,0,1,1,1,-0.248673814,17,0.502115527
0.118317247,D,High Shade,T2,864,21,15,0.047415313,0.070901934,0.104892951,1.24E-05,0.035118648,0.047415313,0,1,1,1,0.070901934,17,0.502115527
0.208765442,D,High Shade,T1,880,24,15,0.138873266,0.069892176,0.091352345,1.02E-05,0.113890717,0.138873266,0,1,1,1,0.069892176,17,0.502115527
0.090849611,D,High Shade,T1,854,27,4,0.096837351,-0.00598774,0.095903722,7.94E-08,0.113890717,0.096837351,0,1,1,1,-0.00598774,13,0.502115527
-0.015089762,D,High Shade,T2,854,27,4,0.018065281,-0.033155043,0.107976876,2.81E-06,0.035118648,0.018065281,0,1,1,1,-0.033155043,13,0.502115527
0.092615264,D,High Shade,T1,876,33,4,0.103053474,-0.01043821,0.095891803,2.41E-07,0.113890717,0.103053474,0,1,1,1,-0.01043821,13,0.502115527
0.027995829,D,High Shade,T2,876,33,4,0.024281404,0.003714425,0.107966834,3.53E-08,0.035118648,0.024281404,0,1,1,1,0.003714425,13,0.502115527
0.638551459,D,High Shade,T1,896,37,15,0.239031762,0.399519698,0.089752064,0.000326272,0.113890717,0.239031762,0,1,1,1,0.399519698,17,0.502115527
0.137721334,D,High Shade,T2,896,37,15,0.160259692,-0.022538358,0.104120799,1.24E-06,0.035118648,0.160259692,0,1,1,1,-0.022538358,17,0.502115527
0.061133965,C,High Shade,T1,893,45,4,0.151250582,-0.090116616,0.059381193,1.03E-05,0.194436565,0.151250582,0,1,1,1,-0.090116616,13,0.502115527
-0.000828204,C,High Shade,T2,893,45,4,0.054129497,-0.0549577,0.059381193,3.83E-06,0.09731548,0.054129497,0,1,1,1,-0.0549577,13,0.502115527
0.097906728,D,High Shade,T1,867B,49,11,0.051725986,0.046180742,0.093371557,4.57E-06,0.113890717,0.051725986,0,1,1,1,0.046180742,16,0.502115527
-0.011373427,D,High Shade,T1,912,51,8,0.10721088,-0.118584307,0.093798287,3.03E-05,0.113890717,0.10721088,0,1,1,1,-0.118584307,14,0.502115527
0.110103787,D,High Shade,T1,916,54,11,0.051104767,0.05899902,0.092560061,7.38E-06,0.113890717,0.051104767,0,1,1,1,0.05899902,16,0.502115527
-0.001172448,D,High Shade,T2,916,54,11,-0.027667303,0.026494855,0.107602131,1.79E-06,0.035118648,-0.027667303,0,1,1,1,0.026494855,16,0.502115527
-0.028933072,D,High Shade,T1,909,58,11,0.240549344,-0.269482416,0.092560061,0.000154038,0.113890717,0.240549344,0,1,1,1,-0.269482416,16,0.502115527
0.09402092,D,High Shade,T2,909,58,11,0.161777274,-0.067756354,0.107602131,1.17E-05,0.035118648,0.161777274,0,1,1,1,-0.067756354,16,0.502115527
0.115570562,D,High Shade,T1,910,79,8,0.142754402,-0.02718384,0.093128115,1.58E-06,0.113890717,0.142754402,0,1,1,1,-0.02718384,14,0.502115527
0.044320354,D,High Shade,T2,910,79,8,0.063982332,-0.019661977,0.108219002,9.93E-07,0.035118648,0.063982332,0,1,1,1,-0.019661977,14,0.502115527
-0.040943645,D,High Shade,T1,911,81,15,0.138659036,-0.179602681,0.089767653,6.60E-05,0.113890717,0.138659036,0,1,1,1,-0.179602681,17,0.502115527
0.097244556,D,High Shade,T2,911,81,15,0.059886966,0.037357589,0.1041381,3.42E-06,0.035118648,0.059886966,0,1,1,1,0.037357589,17,0.502115527
0.09148587,D,High Shade,T1,922,85,4,0.098966414,-0.007480544,0.096046021,1.24E-07,0.113890717,0.098966414,0,1,1,1,-0.007480544,13,0.502115527
